pcn,scrap_key,scrap_date,part_key,part_operation_key,part_no,operation_no,quantity,unit_cost,material_cost,scrap_cost,cost_model
123681,27411875,2021-02-27 06:43:00,2401373,6532343,84831198,10,3,4.05088,0,12.15264,Standard Cost Inventory - Beginning Frozen
123681,27411849,2021-02-27 06:30:00,2857205,8099703,ML34 3K185 AA,10,4,25.25811,22.0799,101.03244,Standard Cost Inventory - Beginning Frozen
123681,27411850,2021-02-27 06:30:00,2857206,8099704,ML34 3K186 AA,10,8,25.25811,22.0799,202.06488,Standard Cost Inventory - Beginning Frozen
123681,27411768,2021-02-27 06:04:00,2668508,7404645,L1MW 4A028 GA,10,1,19.22257,15.3924,19.22257,Standard Cost Inventory - Beginning Frozen
123681,27411763,2021-02-27 06:03:00,2668508,7404645,L1MW 4A028 GA,10,2,19.22257,15.3924,38.44514,Standard Cost Inventory - Beginning Frozen
123681,27411761,2021-02-27 06:03:00,2668508,7404645,L1MW 4A028 GA,10,19,19.22257,15.3924,365.22883,Standard Cost Inventory - Beginning Frozen
123681,27411488,2021-02-27 02:02:00,2972018,8630226,LX6C 3K171 B2B,10,1,11.92576,9.0991,11.92576,Standard Cost Inventory - Beginning Frozen
123681,27411487,2021-02-27 02:02:00,2972017,8630225,LX6C 3K170 B2B,10,4,11.92576,9.0991,47.70304,Standard Cost Inventory - Beginning Frozen
123681,27410840,2021-02-26 22:37:00,2857206,8099704,ML34 3K186 AA,10,4,25.25811,22.0799,101.03244,Standard Cost Inventory - Beginning Frozen
123681,27410841,2021-02-26 22:37:00,2857205,8099703,ML34 3K185 AA,10,1,25.25811,22.0799,25.25811,Standard Cost Inventory - Beginning Frozen
123681,27410810,2021-02-26 22:33:00,2668508,7404645,L1MW 4A028 GA,10,40,19.22257,15.3924,768.9028,Standard Cost Inventory - Beginning Frozen
123681,27408961,2021-02-26 14:40:00,2668507,7404644,L1MW 4A028 MA,10,6,17.15313,14.6152,102.91878,Standard Cost Inventory - Beginning Frozen
123681,27408603,2021-02-26 14:07:00,2223210,5990079,22752754,10,16,26.00085,23.954,416.0136,Standard Cost Inventory - Beginning Frozen
123681,27408576,2021-02-26 14:04:00,2223210,5990079,22752754,10,20,26.00085,23.954,520.017,Standard Cost Inventory - Beginning Frozen
123681,27408552,2021-02-26 14:03:00,2223210,5990079,22752754,10,8,26.00085,23.954,208.0068,Standard Cost Inventory - Beginning Frozen
123681,27408219,2021-02-26 13:23:00,2401373,6532343,84831198,10,1,4.05088,0,4.05088,Standard Cost Inventory - Beginning Frozen
123681,27408221,2021-02-26 13:23:00,2401375,6532351,84831199,10,1,4.05088,0,4.05088,Standard Cost Inventory - Beginning Frozen
123681,27408218,2021-02-26 13:23:00,2401375,6532351,84831199,10,2,4.05088,0,8.10176,Standard Cost Inventory - Beginning Frozen
123681,27407126,2021-02-26 10:04:00,2223210,5990079,22752754,10,1,26.00085,23.954,26.00085,Standard Cost Inventory - Beginning Frozen
123681,27405915,2021-02-26 06:39:00,2401375,6532351,84831199,10,1,4.05088,0,4.05088,Standard Cost Inventory - Beginning Frozen
123681,27405913,2021-02-26 06:39:00,2401373,6532343,84831198,10,1,4.05088,0,4.05088,Standard Cost Inventory - Beginning Frozen
123681,27405789,2021-02-26 06:25:00,2668508,7404645,L1MW 4A028 GA,10,3,19.22257,15.3924,57.66771,Standard Cost Inventory - Beginning Frozen
123681,27405784,2021-02-26 06:25:00,2668508,7404645,L1MW 4A028 GA,10,18,19.22257,15.3924,346.00626,Standard Cost Inventory - Beginning Frozen
123681,27405138,2021-02-26 03:19:00,2972018,8630226,LX6C 3K171 B2B,10,1,11.92576,9.0991,11.92576,Standard Cost Inventory - Beginning Frozen
123681,27405042,2021-02-26 02:52:00,2972017,8630225,LX6C 3K170 B2B,10,1,11.92576,9.0991,11.92576,Standard Cost Inventory - Beginning Frozen
123681,27405041,2021-02-26 02:52:00,2972018,8630226,LX6C 3K171 B2B,10,1,11.92576,9.0991,11.92576,Standard Cost Inventory - Beginning Frozen
123681,27404420,2021-02-25 23:49:00,2627528,7280906,JL14-5A968-AC,10,1,32.12501,27.4113,32.12501,Standard Cost Inventory - Beginning Frozen
123681,27404421,2021-02-25 23:49:00,2627529,7280912,JL14-5A969-AC,10,1,32.12501,27.4113,32.12501,Standard Cost Inventory - Beginning Frozen
123681,27403937,2021-02-25 22:34:00,2857206,8099704,ML34 3K186 AA,10,7,25.25811,22.0799,176.80677,Standard Cost Inventory - Beginning Frozen
123681,27403938,2021-02-25 22:34:00,2857205,8099703,ML34 3K185 AA,10,5,25.25811,22.0799,126.29055,Standard Cost Inventory - Beginning Frozen
123681,27403913,2021-02-25 22:28:00,2668508,7404645,L1MW 4A028 GA,10,1,19.22257,15.3924,19.22257,Standard Cost Inventory - Beginning Frozen
123681,27403865,2021-02-25 22:18:00,2401373,6532343,84831198,10,1,4.05088,0,4.05088,Standard Cost Inventory - Beginning Frozen
123681,27403866,2021-02-25 22:18:00,2401375,6532351,84831199,10,1,4.05088,0,4.05088,Standard Cost Inventory - Beginning Frozen
123681,27403331,2021-02-25 20:42:00,2668508,7404645,L1MW 4A028 GA,10,14,19.22257,15.3924,269.11598,Standard Cost Inventory - Beginning Frozen
123681,27401703,2021-02-25 14:43:00,2668507,7404644,L1MW 4A028 MA,10,2,17.15313,14.6152,34.30626,Standard Cost Inventory - Beginning Frozen
123681,27401611,2021-02-25 14:38:00,2668508,7404645,L1MW 4A028 GA,10,3,19.22257,15.3924,57.66771,Standard Cost Inventory - Beginning Frozen
123681,27401608,2021-02-25 14:37:00,2668508,7404645,L1MW 4A028 GA,10,4,19.22257,15.3924,76.89028,Standard Cost Inventory - Beginning Frozen
123681,27400960,2021-02-25 13:37:00,2857205,8099703,ML34 3K185 AA,10,4,25.25811,22.0799,101.03244,Standard Cost Inventory - Beginning Frozen
123681,27400963,2021-02-25 13:37:00,2857205,8099703,ML34 3K185 AA,10,1,25.25811,22.0799,25.25811,Standard Cost Inventory - Beginning Frozen
123681,27400715,2021-02-25 13:08:00,2401373,6532343,84831198,10,1,4.05088,0,4.05088,Standard Cost Inventory - Beginning Frozen
123681,27400716,2021-02-25 13:08:00,2401375,6532351,84831199,10,2,4.05088,0,8.10176,Standard Cost Inventory - Beginning Frozen
123681,27400423,2021-02-25 12:22:00,2668508,7404645,L1MW 4A028 GA,10,143,19.22257,15.3924,2748.82751,Standard Cost Inventory - Beginning Frozen
123681,27399310,2021-02-25 09:37:00,2857206,8099704,ML34 3K186 AA,10,32,25.25811,22.0799,808.25952,Standard Cost Inventory - Beginning Frozen
123681,27399311,2021-02-25 09:37:00,2857205,8099703,ML34 3K185 AA,10,31,25.25811,22.0799,783.00141,Standard Cost Inventory - Beginning Frozen
123681,27397935,2021-02-25 06:36:00,2972018,8630226,LX6C 3K171 B2B,10,5,11.92576,9.0991,59.6288,Standard Cost Inventory - Beginning Frozen
123681,27397897,2021-02-25 06:33:00,2401375,6532351,84831199,10,1,4.05088,0,4.05088,Standard Cost Inventory - Beginning Frozen
